Team, Map, Win %, Pistol Rounds Win %, Round win % after getting first kill, Round win % after receiving first death
FaZe,overpass,0,0,0,0
Gambit,dust2,43.87,50,71.6,18.5
Gambit,mirage,53.02,50,74.6,31.0
Gambit,inferno,58,68.75,75.8,35.2
Gambit,cache,50.47,58.33,71.0,31.7
Gambit,train,53.25,55,75.6,32.2
Gambit,cobblestone,46.72,38.89,72.8,24.8
Gambit,overpass,0,0,0,0
E-frag.net,dust2,58.37,53.03,78.2,35.5
E-frag.net,mirage,52.98,58.82,75.3,28.9
E-frag.net,inferno,54.33,46.67,73.5,32.4
E-frag.net,cache,56.77,61.03,76.5,33.6
E-frag.net,train,55.88,61.11,76.7,34.4
E-frag.net,cobblestone,49.36,57.5,72.1,24.7
E-frag.net,overpass,48.67,52.44,72.5,24.3
