Team 1,Team 2,Map,Winner,Team 1 rank,Team 2 rank,Team 1 Rating,Team 2 Rating,Team 1 KD,Team 2 KD,Team 1 Map Win %,Team 2 Map Win %,Team 1 Pistol Round Win %,Team 2 Pistol Round Win %,Team 1 first kill win %,Team 2 first kill win %,Team 1 first death win %,Team 2 first death win %
mousesports,dignitas,inferno,dignitas,9,8,1.074,1.024,1.04,1.05,48.86,51.95,58.87,57.14,70.2,74.6,25.4,28.7
dignitas,mousesports,cobblestone,dignitas,8,9,1.024,1.074,1.05,1.04,52.12,50.81,57.35,55.1,76.4,71.8,27.2,29.0
CLG,Liquid,mirage,Liquid,11,10,1.04,1.064,1.05,1.08,54.55,52.24,55.08,54.76,76.4,75.4,29.3,28.0
Liquid,CLG,cobblestone,Liquid,10,11,1.064,1.04,1.08,1.05,53.23,52.59,50,53.7,73.4,73.3,29.6,28.0
Astralis,dignitas,mirage,Astralis,4,8,1.06,1.024,1.11,1.05,61.04,55.47,43.75,56.59,82.4,77.4,33.7,30.2
dignitas,Astralis,inferno,Astralis,8,4,1.024,1.06,1.05,1.11,51.95,55.84,57.14,45.45,74.6,76.5,28.7,31.2
Natus Vincere,EnVyUs,train,Natus Vincere,1,6,1.044,1.072,1.07,1.07,53.85,51.77,63.24,52.33,73.9,74.8,31.3,27.9
CLG,Luminosity,overpass,Luminosity,11,2,1.04,1.106,1.05,1.14,52.49,54.77,46.05,55.71,77.3,76.6,26.4,30.7
Luminosity,CLG,cobblestone,Luminosity,2,11,1.106,1.04,1.14,1.05,56.27,52.59,48.72,53.7,79.9,73.3,29.4,28.0
fnatic,dignitas,overpass,fnatic,3,8,1.084,1.024,1.12,1.05,56.88,52.87,58.89,54.03,77.1,76.5,33.8,29.8
dignitas,fnatic,train,fnatic,8,3,1.024,1.084,1.05,1.12,49.14,54.99,50,49.17,74.0,76.8,27.1,32.3
mousesports,FaZe,dust2,mousesports,9,18,1.074,1.046,1.04,0.99,51.93,43.9,53.44,57.14,75.0,72.8,28.2,20.3
FaZe,mousesports,cache,mousesports,18,9,1.046,1.074,0.99,1.04,46.72,55.22,75,54.12,71.0,76.8,22.6,32.1
Cloud9,Luminosity,cobblestone,Luminosity,16,2,1.026,1.106,1.06,1.14,55.92,56.27,55.26,48.72,78.0,79.9,30.4,29.4
Luminosity,Cloud9,overpass,Cloud9,2,16,1.106,1.026,1.14,1.06,54.77,54.03,55.71,53.03,76.6,75.8,30.7,29.2
G2,FaZe,cache,G2,13,18,1.056,1.046,1.01,0.99,51.22,46.72,50.74,75,74.7,71.0,27.1,22.6
