Team 1,Team 2,Map,Winner,Team 1 rank,Team 2 rank,Team 1 Rating,Team 2 Rating,Team 1 KD,Team 2 KD,Team 1 Map Win %,Team 2 Map Win %,Team 1 Pistol Round Win %,Team 2 Pistol Round Win %,Team 1 first kill win %,Team 2 first kill win %,Team 1 first death win %,Team 2 first death win %
Liquid,Luminosity,dust2,Luminosity,10,2,1.064,1.106,1.08,1.14,53.59,54.33,59.09,43.48,74.6,78.0,30.7,28.1
Luminosity,Cloud9,overpass,Luminosity,2,16,1.106,1.026,1.14,1.06,54.77,54.03,55.71,53.03,76.6,75.8,30.7,29.2
Luminosity,Liquid,cobblestone,Luminosity,2,10,1.106,1.064,1.14,1.08,56.27,53.23,48.72,50,79.9,73.4,29.4,29.6
fnatic,dignitas,inferno,fnatic,3,8,1.084,1.024,1.12,1.05,56.7,51.95,51.78,57.14,79.3,74.6,32.3,28.7
Virtus.pro,dignitas,cache,dignitas,7,8,1.046,1.024,1.06,1.05,52.79,51.18,52.44,49.3,76.3,76.1,27.6,25.8
Liquid,Cloud9,cache,Liquid,10,16,1.064,1.026,1.08,1.06,55.59,53.48,52.03,58.78,74.8,76.4,34.0,28.8
fnatic,mousesports,overpass,mousesports,3,9,1.084,1.074,1.12,1.04,56.88,50.17,58.89,54.39,77.1,72.5,33.8,25.6
Virtus.pro,mousesports,inferno,mousesports,7,9,1.046,1.074,1.06,1.04,52.03,48.86,52.19,58.87,76.1,70.2,27.3,25.4
mousesports,NiP,mirage,mousesports,9,5,1.074,1.114,1.04,1.16,52.81,51.24,54.17,52.05,76.2,74.8,29.5,27.8
Luminosity,CLG,cobblestone,Luminosity,2,11,1.106,1.04,1.14,1.05,56.27,52.59,48.72,53.7,79.9,73.3,29.4,28.0
EnVyUs,HellRaisers,cobblestone,EnVyUs,6,17,1.072,1.056,1.07,1.03,55.41,51.84,61.61,52.59,76.1,71.4,33.3,32.0
CLG,Cloud9,cache,CLG,11,16,1.04,1.026,1.05,1.06,49.28,53.48,56.48,58.78,72.2,76.4,26.5,28.8
Luminosity,CLG,cache,Luminosity,2,11,1.106,1.04,1.14,1.05,53.64,49.28,57.35,56.48,77.0,72.2,27.8,26.5
Luminosity,Liquid,cobblestone,Liquid,2,10,1.106,1.064,1.14,1.08,56.27,53.23,48.72,50,79.9,73.4,29.4,29.6
HellRaisers,NiP,overpass,HellRaisers,17,5,1.056,1.114,1.03,1.16,50.73,52.36,44.15,45,73.4,73.8,27.0,28.8
EnVyUs,HellRaisers,inferno,EnVyUs,6,17,1.072,1.056,1.07,1.03,54.28,50.74,56.17,49.55,76.5,73.6,30.2,27.1
Liquid,CLG,inferno,CLG,10,11,1.064,1.04,1.08,1.05,52.87,47.57,33.33,47.83,78.8,73.8,29.3,19.1
EnVyUs,NiP,cobblestone,NiP,6,5,1.072,1.114,1.07,1.16,55.41,51.71,61.61,50,76.1,72.1,33.3,28.6
dignitas,NiP,train,NiP,8,5,1.024,1.114,1.05,1.16,49.14,55.01,50,50,74.0,78.4,27.1,28.5
Natus Vincere,EnVyUs,mirage,EnVyUs,1,6,1.044,1.072,1.07,1.07,55.8,53.31,55.84,53.06,78.7,72.3,30.0,33.8
Luminosity,fnatic,inferno,Luminosity,2,3,1.106,1.084,1.14,1.12,57.5,56.7,57.35,51.78,78.7,79.3,30.8,32.3
CLG,dignitas,cobblestone,CLG,11,8,1.04,1.024,1.05,1.05,52.59,52.12,53.7,57.35,73.3,76.4,28.0,27.2
NiP,Liquid,mirage,NiP,5,10,1.114,1.064,1.16,1.08,51.24,52.24,52.05,54.76,74.8,75.4,27.8,28.0
dignitas,EnVyUs,cobblestone,EnVyUs,8,6,1.024,1.072,1.05,1.07,52.12,55.41,57.35,61.61,76.4,76.1,27.2,33.3
Liquid,Virtus.pro,cobblestone,Virtus.pro,10,7,1.064,1.046,1.08,1.06,53.23,51.82,50,50.81,73.4,73.8,29.6,29.8
mousesports,G2,inferno,G2,9,13,1.074,1.056,1.04,1.01,48.86,51.34,58.87,62.9,70.2,74.1,25.4,27.3
Cloud9,Luminosity,dust2,Luminosity,16,2,1.026,1.106,1.06,1.14,54.66,54.33,50,43.48,75.5,78.0,30.3,28.1
EnVyUs,mousesports,overpass,EnVyUs,6,9,1.072,1.074,1.07,1.04,46.9,50.17,58.7,54.39,68.3,72.5,28.5,25.6
Natus Vincere,mousesports,mirage,mousesports,1,9,1.044,1.074,1.07,1.04,55.8,52.81,55.84,54.17,78.7,76.2,30.0,29.5
Natus Vincere,HellRaisers,train,Natus Vincere,1,17,1.044,1.056,1.07,1.03,53.85,50.89,63.24,46.55,73.9,75.7,31.3,23.9
CLG,Liquid,train,Liquid,11,10,1.04,1.064,1.05,1.08,53.67,51.39,57.69,59.26,75.2,73.0,31.3,27.3
CLG,Cloud9,mirage,CLG,11,16,1.04,1.026,1.05,1.06,54.55,49.3,55.08,52.38,76.4,75.2,29.3,23.5
Natus Vincere,NiP,inferno,Natus Vincere,1,5,1.044,1.114,1.07,1.16,51.39,52.96,56.25,52.65,74.8,75.6,28.0,27.9
Cloud9,Liquid,cobblestone,Liquid,16,10,1.026,1.064,1.06,1.08,55.92,53.23,55.26,50,78.0,73.4,30.4,29.6
HellRaisers,fnatic,cobblestone,fnatic,17,3,1.056,1.084,1.03,1.12,51.84,58.49,52.59,57.02,71.4,78.9,32.0,36.4
NiP,G2,cache,NiP,5,13,1.114,1.056,1.16,1.01,53.65,51.22,51.7,50.74,78.0,74.7,27.4,27.1
fnatic,EnVyUs,train,EnVyUs,3,6,1.084,1.072,1.12,1.07,54.99,51.77,49.17,52.33,76.8,74.8,32.3,27.9
mousesports,NiP,cobblestone,NiP,9,5,1.074,1.114,1.04,1.16,50.81,51.71,55.1,50,71.8,72.1,29.0,28.6
Liquid,Cloud9,inferno,Liquid,10,16,1.064,1.026,1.08,1.06,52.87,47.28,33.33,36.46,78.8,70.8,29.3,24.4
fnatic,G2,inferno,fnatic,3,13,1.084,1.056,1.12,1.01,56.7,51.34,51.78,62.9,79.3,74.1,32.3,27.3
HellRaisers,G2,cache,G2,17,13,1.056,1.056,1.03,1.01,53.35,51.22,54.76,50.74,75.0,74.7,30.1,27.1
fnatic,HellRaisers,mirage,fnatic,3,17,1.084,1.056,1.12,1.03,56.38,49.25,49.6,56.06,78.7,72.5,30.2,25.3
NiP,EnVyUs,dust2,NiP,5,6,1.114,1.072,1.16,1.07,54.93,54.32,53.79,54.62,78.7,77.6,28.4,30.1
Virtus.pro,HellRaisers,overpass,Virtus.pro,7,17,1.046,1.056,1.06,1.03,50.98,50.73,44.16,44.15,72.8,73.4,28.1,27.0
fnatic,Virtus.pro,cache,fnatic,3,7,1.084,1.046,1.12,1.06,56.46,52.79,55.19,52.44,77.3,76.3,32.7,27.6
dignitas,HellRaisers,mirage,dignitas,8,17,1.024,1.056,1.05,1.03,55.47,49.25,56.59,56.06,77.4,72.5,30.2,25.3
Natus Vincere,dignitas,overpass,Natus Vincere,1,8,1.044,1.024,1.07,1.05,54.15,52.87,56.33,54.03,75.8,76.5,29.2,29.8
fnatic,Virtus.pro,train,fnatic,3,7,1.084,1.046,1.12,1.06,54.99,54.51,49.17,51.28,76.8,77.4,32.3,30.5
Virtus.pro,NiP,inferno,Virtus.pro,7,5,1.046,1.114,1.06,1.16,52.03,52.96,52.19,52.65,76.1,75.6,27.3,27.9
EnVyUs,Virtus.pro,dust2,EnVyUs,6,7,1.072,1.046,1.07,1.06,54.32,49.14,54.62,56.52,77.6,72.5,30.1,26.2
dignitas,NiP,dust2,NiP,8,5,1.024,1.114,1.05,1.16,53.98,54.93,63.64,53.79,78.4,78.7,29.3,28.4
EnVyUs,dignitas,cache,EnVyUs,6,8,1.072,1.024,1.07,1.05,55.14,51.18,52.98,49.3,77.3,76.1,31.0,25.8
Liquid,Luminosity,overpass,Liquid,10,2,1.064,1.106,1.08,1.14,55.43,54.77,53.41,55.71,76.2,76.6,30.6,30.7
mousesports,dignitas,train,dignitas,9,8,1.074,1.024,1.04,1.05,46.6,49.14,44.19,50,70.6,74.0,24.2,27.1
fnatic,dignitas,mirage,fnatic,3,8,1.084,1.024,1.12,1.05,56.38,55.47,49.6,56.59,78.7,77.4,30.2,30.2
Luminosity,Cloud9,overpass,Cloud9,2,16,1.106,1.026,1.14,1.06,54.77,54.03,55.71,53.03,76.6,75.8,30.7,29.2
Liquid,Cloud9,dust2,Cloud9,10,16,1.064,1.026,1.08,1.06,53.59,54.66,59.09,50,74.6,75.5,30.7,30.3
EnVyUs,NiP,mirage,EnVyUs,6,5,1.072,1.114,1.07,1.16,53.31,51.24,53.06,52.05,72.3,74.8,33.8,27.8
EnVyUs,fnatic,cache,EnVyUs,6,3,1.072,1.084,1.07,1.12,55.14,56.46,52.98,55.19,77.3,77.3,31.0,32.7
fnatic,HellRaisers,cache,HellRaisers,3,17,1.084,1.056,1.12,1.03,56.46,53.35,55.19,54.76,77.3,75.0,32.7,30.1
EnVyUs,HellRaisers,cobblestone,HellRaisers,6,17,1.072,1.056,1.07,1.03,55.41,51.84,61.61,52.59,76.1,71.4,33.3,32.0
EnVyUs,G2,dust2,EnVyUs,6,13,1.072,1.056,1.07,1.01,54.32,51.65,54.62,46.74,77.6,74.1,30.1,25.8
EnVyUs,fnatic,train,EnVyUs,6,3,1.072,1.084,1.07,1.12,51.77,54.99,52.33,49.17,74.8,76.8,27.9,32.3
Natus Vincere,dignitas,inferno,dignitas,1,8,1.044,1.024,1.07,1.05,51.39,51.95,56.25,57.14,74.8,74.6,28.0,28.7
dignitas,HellRaisers,train,dignitas,8,17,1.024,1.056,1.05,1.03,49.14,50.89,50,46.55,74.0,75.7,27.1,23.9
NiP,HellRaisers,cobblestone,HellRaisers,5,17,1.114,1.056,1.16,1.03,51.71,51.84,50,52.59,72.1,71.4,28.6,32.0
mousesports,dignitas,cobblestone,dignitas,9,8,1.074,1.024,1.04,1.05,50.81,52.12,55.1,57.35,71.8,76.4,29.0,27.2
G2,EnVyUs,train,EnVyUs,13,6,1.056,1.072,1.01,1.07,48.8,51.77,47.14,52.33,70.7,74.8,28.2,27.9
NiP,fnatic,cobblestone,fnatic,5,3,1.114,1.084,1.16,1.12,51.71,58.49,50,57.02,72.1,78.9,28.6,36.4
Luminosity,Cloud9,train,Cloud9,2,16,1.106,1.026,1.14,1.06,56.99,58.07,60.34,62.9,80.3,80.1,30.6,32.4
EnVyUs,dignitas,overpass,EnVyUs,6,8,1.072,1.024,1.07,1.05,46.9,52.87,58.7,54.03,68.3,76.5,28.5,29.8
HellRaisers,NiP,cache,HellRaisers,17,5,1.056,1.114,1.03,1.16,53.35,53.65,54.76,51.7,75.0,78.0,30.1,27.4
HellRaisers,EnVyUs,cobblestone,EnVyUs,17,6,1.056,1.072,1.03,1.07,51.84,55.41,52.59,61.61,71.4,76.1,32.0,33.3
EnVyUs,Virtus.pro,mirage,EnVyUs,6,7,1.072,1.046,1.07,1.06,53.31,56.25,53.06,55.33,72.3,78.0,33.8,31.5
Virtus.pro,fnatic,dust2,Virtus.pro,7,3,1.046,1.084,1.06,1.12,49.14,53.14,56.52,51.44,72.5,75.2,26.2,29.6
Virtus.pro,EnVyUs,mirage,Virtus.pro,7,6,1.046,1.072,1.06,1.07,56.25,53.31,55.33,53.06,78.0,72.3,31.5,33.8
HellRaisers,NiP,dust2,NiP,17,5,1.056,1.114,1.03,1.16,52.36,54.93,56.44,53.79,76.0,78.7,28.4,28.4
Virtus.pro,HellRaisers,cobblestone,Virtus.pro,7,17,1.046,1.056,1.06,1.03,51.82,51.84,50.81,52.59,73.8,71.4,29.8,32.0
G2,NiP,train,G2,13,5,1.056,1.114,1.01,1.16,48.8,55.01,47.14,50,70.7,78.4,28.2,28.5
fnatic,NiP,dust2,fnatic,3,5,1.084,1.114,1.12,1.16,53.14,54.93,51.44,53.79,75.2,78.7,29.6,28.4
dignitas,EnVyUs,mirage,EnVyUs,8,6,1.024,1.072,1.05,1.07,55.47,53.31,56.59,53.06,77.4,72.3,30.2,33.8
fnatic,HellRaisers,dust2,fnatic,3,17,1.084,1.056,1.12,1.03,53.14,52.36,51.44,56.44,75.2,76.0,29.6,28.4
fnatic,NiP,cache,NiP,3,5,1.084,1.114,1.12,1.16,56.46,53.65,55.19,51.7,77.3,78.0,32.7,27.4
mousesports,HellRaisers,cobblestone,mousesports,9,17,1.074,1.056,1.04,1.03,50.81,51.84,55.1,52.59,71.8,71.4,29.0,32.0
G2,fnatic,inferno,fnatic,13,3,1.056,1.084,1.01,1.12,51.34,56.7,62.9,51.78,74.1,79.3,27.3,32.3
fnatic,mousesports,inferno,fnatic,3,9,1.084,1.074,1.12,1.04,56.7,48.86,51.78,58.87,79.3,70.2,32.3,25.4
G2,HellRaisers,cache,G2,13,17,1.056,1.056,1.01,1.03,51.22,53.35,50.74,54.76,74.7,75.0,27.1,30.1
Natus Vincere,mousesports,inferno,Natus Vincere,1,9,1.044,1.074,1.07,1.04,51.39,48.86,56.25,58.87,74.8,70.2,28.0,25.4
EnVyUs,NiP,train,NiP,6,5,1.072,1.114,1.07,1.16,51.77,55.01,52.33,50,74.8,78.4,27.9,28.5
NiP,Cloud9,dust2,NiP,5,16,1.114,1.026,1.16,1.06,54.93,54.66,53.79,50,78.7,75.5,28.4,30.3
Virtus.pro,EnVyUs,cache,Virtus.pro,7,6,1.046,1.072,1.06,1.07,52.79,55.14,52.44,52.98,76.3,77.3,27.6,31.0
NiP,Virtus.pro,mirage,Virtus.pro,5,7,1.114,1.046,1.16,1.06,51.24,56.25,52.05,55.33,74.8,78.0,27.8,31.5
Cloud9,EnVyUs,cobblestone,EnVyUs,16,6,1.026,1.072,1.06,1.07,55.92,55.41,55.26,61.61,78.0,76.1,30.4,33.3
E-frag.net,Virtus.pro,overpass,Virtus.pro,20,7,1.05,1.046,1.09,1.06,48.67,50.98,52.44,44.16,72.5,72.8,24.3,28.1
Natus Vincere,fnatic,inferno,fnatic,1,3,1.044,1.084,1.07,1.12,51.39,56.7,56.25,51.78,74.8,79.3,28.0,32.3
Cloud9,Virtus.pro,cobblestone,Virtus.pro,16,7,1.026,1.046,1.06,1.06,55.92,51.82,55.26,50.81,78.0,73.8,30.4,29.8
mousesports,Cloud9,overpass,Cloud9,9,16,1.074,1.026,1.04,1.06,50.17,54.03,54.39,53.03,72.5,75.8,25.6,29.2
Luminosity,EnVyUs,cobblestone,EnVyUs,2,6,1.106,1.072,1.14,1.07,56.27,55.41,48.72,61.61,79.9,76.1,29.4,33.3
CLG,NiP,dust2,NiP,11,5,1.04,1.114,1.05,1.16,51.98,54.93,55.77,53.79,73.2,78.7,29.1,28.4
EnVyUs,mousesports,cache,EnVyUs,6,9,1.072,1.074,1.07,1.04,55.14,55.22,52.98,54.12,77.3,76.8,31.0,32.1
mousesports,EnVyUs,train,mousesports,9,6,1.074,1.072,1.04,1.07,46.6,51.77,44.19,52.33,70.6,74.8,24.2,27.9
EnVyUs,mousesports,dust2,EnVyUs,6,9,1.072,1.074,1.07,1.04,54.32,51.93,54.62,53.44,77.6,75.0,30.1,28.2
CLG,EnVyUs,inferno,EnVyUs,11,6,1.04,1.072,1.05,1.07,47.57,54.28,47.83,56.17,73.8,76.5,19.1,30.2
mousesports,EnVyUs,inferno,EnVyUs,9,6,1.074,1.072,1.04,1.07,48.86,54.28,58.87,56.17,70.2,76.5,25.4,30.2
Tempo Storm,Liquid,cache,Liquid,14,10,1.03,1.064,1.12,1.08,50.69,55.59,55.26,52.03,73.0,74.8,27.3,34.0
Liquid,Cloud9,dust2,Cloud9,10,16,1.064,1.026,1.08,1.06,53.59,54.66,59.09,50,74.6,75.5,30.7,30.3
